Month,Date,Amount,Category,Mood,TimeOfDay,DayOfWeek,WeekNumber
Nov 2025,2025-11-08 12:43:55,37.0,Eating Out,Social,Afternoon,Saturday,45
Nov 2025,2025-11-09 08:04:08,6.0,Eating Out,Necessary,Morning,Sunday,46
Nov 2025,2025-11-09 14:02:43,4.0,Eating Out,Necessary,Afternoon,Sunday,46
Nov 2025,2025-11-09 14:02:50,6.0,Eating Out,Impulse,Afternoon,Sunday,46
Nov 2025,2025-11-09 14:03:03,26.0,Transportation,Necessary,Afternoon,Sunday,46
Nov 2025,2025-11-09 14:03:22,9.0,Cooking/Groceries,Planned,Afternoon,Sunday,46
Nov 2025,2025-11-09 14:03:35,57.0,Cooking/Groceries,Planned,Afternoon,Sunday,46
Nov 2025,2025-11-10 12:54:44,25.0,Eating Out,Impulse,Afternoon,Monday,46
Nov 2025,2025-11-10 13:41:10,4.0,Eating Out,Social,Afternoon,Monday,46
Nov 2025,2025-11-11 16:50:21,5.0,Eating Out,Impulse,Afternoon,Tuesday,46
Nov 2025,2025-11-13 08:39:53,48.0,Eating Out,Social,Morning,Thursday,46
Nov 2025,2025-11-13 15:02:34,5.0,Eating Out,Impulse,Afternoon,Thursday,46
Nov 2025,2025-11-16 19:04:57,5.0,Eating Out,Impulse,Evening,Sunday,47
Nov 2025,2025-11-19 06:34:52,20.0,Transportation,Necessary,Morning,Wednesday,47
Nov 2025,2025-11-19 06:35:06,14.0,Eating Out,Treat,Morning,Wednesday,47
Nov 2025,2025-11-20 20:15:42,9.0,Eating Out,Impulse,Evening,Thursday,47
Nov 2025,2025-11-20 20:15:50,5.0,Eating Out,Impulse,Evening,Thursday,47
Nov 2025,2025-11-20 20:16:02,100.0,Projects,Impulse,Evening,Thursday,47
Nov 2025,2025-11-21 05:48:10,15.0,Cooking/Groceries,Necessary,Morning,Friday,47
Nov 2025,2025-11-21 05:48:26,6.0,Eating Out,Necessary,Morning,Friday,47
Nov 2025,2025-11-21 09:59:33,9.0,Eating Out,Impulse,Morning,Friday,47
Nov 2025,2025-11-22 06:20:33,32.0,Transportation,Necessary,Morning,Saturday,47
Nov 2025,2025-11-22 06:20:41,6.0,Eating Out,Necessary,Morning,Saturday,47
Nov 2025,2025-11-22 06:20:47,7.0,Eating Out,Impulse,Morning,Saturday,47
Nov 2025,2025-11-22 18:56:24,7.0,Eating Out,Impulse,Evening,Saturday,47
Nov 2025,2025-11-23 19:53:26,17.0,Eating Out,Social,Evening,Sunday,48
Nov 2025,2025-11-26 08:44:34,10.0,Clothing,Necessary,Morning,Wednesday,48
Nov 2025,2025-11-26 08:45:09,93.0,Clothing,Impulse,Morning,Wednesday,48
Nov 2025,2025-11-26 08:45:30,53.0,Eating Out,Social,Morning,Wednesday,48
Nov 2025,2025-11-26 08:45:48,16.0,Transportation,Necessary,Morning,Wednesday,48
Nov 2025,2025-11-26 08:46:24,21.0,Transportation,Planned,Morning,Wednesday,48
Nov 2025,2025-11-26 08:46:36,9.0,Eating Out,Planned,Morning,Wednesday,48
Nov 2025,2025-11-27 12:46:28,7.0,Eating Out,Impulse,Afternoon,Thursday,48
Nov 2025,2025-11-28 12:32:04,4.0,Eating Out,Impulse,Afternoon,Friday,48
Nov 2025,2025-11-28 19:29:22,8.0,Eating Out,Necessary,Evening,Friday,48
