Month,Date,Amount,Category
Jun 2025,2025-06-14,27.94,Cooking/Groceries
Jun 2025,2025-06-14,3.69,Cooking/Groceries
Jun 2025,2025-06-16,50.63,Cooking/Groceries
Jun 2025,2025-06-16,2.38,Cooking/Groceries
Jun 2025,2025-06-16,11,Cooking/Groceries
Jun 2025,2025-06-16,2.9,Cooking/Groceries
Jun 2025,2025-06-17,3.69,Cooking/Groceries
Jun 2025,2025-06-17,6.75,Cooking/Groceries
Jun 2025,2025-06-19,80,Personal
Jun 2025,2025-06-19,20,Cooking/Groceries
Jun 2025,2025-06-19,10,Utilities
Jun 2025,2025-06-19,15,Personal
Jun 2025,2025-06-19,36,Projects
Jun 2025,2025-06-19,40,Personal
Jun 2025,2025-06-22,40,Projects
Apr 2025,2025-04-02,15,Cooking/Groceries
Apr 2025,2025-04-02,3.58,Cooking/Groceries
Apr 2025,2025-04-03,16.45,Projects
Apr 2025,2025-04-06,36.73,Cooking/Groceries
Apr 2025,2025-04-07,2.84,Cooking/Groceries
Apr 2025,2025-04-07,8.49,Personal
Apr 2025,2025-04-09,86.93,Projects
Apr 2025,2025-04-09,2.41,Cooking/Groceries
Apr 2025,2025-04-09,10,Utilities
Apr 2025,2025-04-10,51.73,Other
Apr 2025,2025-04-11,2.37,Cooking/Groceries
Apr 2025,2025-04-13,20.21,Cooking/Groceries
Apr 2025,2025-04-13,4.18,Cooking/Groceries
Apr 2025,2025-04-14,17.53,Cooking/Groceries
Apr 2025,2025-04-15,31.68,Transportation
Apr 2025,2025-04-15,7.58,Cooking/Groceries
Apr 2025,2025-04-15,7.38,Cooking/Groceries
Apr 2025,2025-04-19,20,Cooking/Groceries
Apr 2025,2025-04-19,5,Cooking/Groceries
Apr 2025,2025-04-21,20,Cooking/Groceries
Apr 2025,2025-04-21,20,Cooking/Groceries
Apr 2025,2025-04-22,2.3,Cooking/Groceries
Apr 2025,2025-04-23,26.32,Transportation
Apr 2025,2025-04-26,10.38,Cooking/Groceries
Apr 2025,2025-04-26,3.44,Cooking/Groceries
Apr 2025,2025-04-27,16.93,Cooking/Groceries
Apr 2025,2025-04-27,12.43,Cooking/Groceries
Apr 2025,2025-04-27,8.3,Cooking/Groceries
Apr 2025,2025-04-30,9.75,Cooking/Groceries
Apr 2025,2025-04-30,4.78,Cooking/Groceries
Mar 2025,,48.55,Eating Out
Mar 2025,,22.33,Travel/Adventure
Mar 2025,,25,Travel/Adventure
Mar 2025,,20,Personal
Mar 2025,,23.44,Transportation
